AquoMetadata_MessageID;Parameter_Wat_Omschrijving;Eenheid.Code;Eenheid.Omschrijving;Grootheid.Code;Grootheid.Omschrijving;Hoedanigheid.Code;Hoedanigheid.Omschrijving;Parameter.Code;Parameter.Omschrijving;parametergroep
424;(massa)Concentratie dibutyltin (kation) in Oppervlaktewater ng/l;ng/l;nanogram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;DC4ySn;dibutyltin (kation);contaminants
19;(massa)Concentratie dichloormethaan in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;DClC1a;dichloormethaan;contaminants
108;(massa)Concentratie dichloorvos in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;DClvs;dichloorvos;contaminants
349;(massa)Concentratie bis(2-ethylhexyl)ftalaat (DEHP) in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;DEHP;bis(2-ethylhexyl)ftalaat (DEHP);contaminants
433;(massa)Concentratie demeton-O in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;demtnO;demeton-O;contaminants
160;(massa)Concentratie delta-hexachloorcyclohexaan in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;dHCH;delta-hexachloorcyclohexaan;contaminants
128;(massa)Concentratie dieldrin in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;dieldn;dieldrin;contaminants
400;(massa)Concentratie dimethoaat in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Dmtat;dimethoaat;contaminants
330;(massa)Concentratie deltamethrin in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;dmtn;deltamethrin;contaminants
5;(massa)Concentratie dimethenamid-P in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;DmtnmdP;dimethenamid-P;contaminants
343;(massa)Concentratie disulfoton in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Dsftn;disulfoton;contaminants
204;(massa)Concentratie dithianon in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Dtann;dithianon;contaminants
212;(massa)Concentratie diuron in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Durn;diuron;contaminants
302;(massa)Concentratie endrin in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;endn;endrin;contaminants
2;(massa)Concentratie esfenvaleraat in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;esfvlrt;esfenvaleraat;contaminants
235;(massa)Concentratie fluoride in Oppervlaktewater mg/l;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;F;fluoride;contaminants
27;(massa)Concentratie ijzer in Oppervlaktewater mg/l;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Fe;ijzer;metals
179;(massa)Concentratie ijzer in Oppervlaktewater opgeloste fractie (bijv. na filtratie) in mg/l;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;nf;opgeloste fractie (bijv. na filtratie);Fe;ijzer;metals
426;(massa)Concentratie fenantreen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Fen;fenantreen;contaminants
